frase,10,50,75,100,150,200,300,400,500,600,750,1000,base
Quando foi a batalha de Gettysburg?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Liste todos os musicais com músicas de Elton John.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual a altura do Farol em Colombo?,72,2256,3636,5068,11066,19972,48572,80622,108042,113260,113720,114592,434302
Quem foi a esposa do presidente americano Lincoln?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem é o apresentador do BBC Wildlife Specials?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quanto custou Pulp Fiction?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Em que cidade fica a cervejaria Heineken?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quando começou a Operação Overlord?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Em que cidade termina a Rota 68 do Chile?,72,1074,3674,7466,18850,35024,75552,121686,171752,222224,297628,442416,-1
Quem desenvolveu o Slack?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem foi casada com o presidente Chirac?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
De que morreu Bruce Carver?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem pintou Tormenta no Mar da Galileia?,90,2450,5400,9684,13334,13334,13334,13334,13334,13334,13334,13334,13792
Em quais cidades o rio Weser passa?,72,2156,4980,5072,5134,5224,5730,5856,6158,6852,7434,11886,-1
Quantas cadeiras tem o estádio do Futebol Clube do Porto,64,2406,5432,9530,21656,36994,70150,115390,137160,141708,145264,149596,-1
Com quem a filha de Robert Kennedy casou-se?,0,10,28,30,54,78,98,118,134,162,246,318,97924
Que livros de Kerouac foram publicados pela Viking Press?,18,1044,2432,4830,11882,21164,28630,49952,91262,141984,143726,150270,1109604
Qual a altura de Amazon Eve?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Em que museu está exposto O Grito de Munch?,62,1734,3396,5370,8748,11296,27376,27564,27874,28158,29068,71872,726174
Quem escreveu o livro Os Pilares da Terra?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
James Bond é casado?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem descobriu Ceres?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Que rio a Ponte do Brooklyn cruza?,88,2448,5548,9692,14192,19114,42826,56566,56762,83110,178064,436318,9873446
Quem foi chamado de Frank The Tank?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual é o maior país do mundo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem é o prefeito de Paris?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem é o treinador da equipe de hockey no gelo de Ankara?,90,2450,5546,9894,21636,34146,43154,43636,48514,60200,68484,68628,8845286
Quem é o prefeito da capital da Polinésia Francessa?,20,1980,3032,4482,10378,10378,10380,10380,10380,10380,10380,10380,9929128
Que prêmios Douglas Hofstadter ganhou?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quanto custou The Lego Movie?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Onde começa a Piccadilly?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
O Príncipe Harry e o Príncipe William têm os mesmos pais?,12,310,1294,3444,8848,15834,19044,19132,19300,19366,19550,19814,1751442
Quem interpretou o Agente Smith em Matrix?,56,1042,2508,5030,12624,22018,28852,32872,37204,40168,40798,41774,46066
Quantos idiomas são falados no Turquemenistão?,10,90,184,270,526,768,1708,2460,6800,18718,26996,58378,-1
Em que filmes Julia Roberts e Richard Gere atuaram?,20,1130,2600,4862,10924,19534,42220,57490,57774,58156,58388,61904,499306
Em que país nasce o Ganges?,90,2352,5250,6716,7782,8096,8138,8232,9848,10624,14496,28088,811678
Em que ano nasceu Rachel Stevens?,90,2250,5220,9088,10904,11040,11460,12864,26106,26832,29154,33550,-1
Barack Obama é um Democrata?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Onde nasceu Bach?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quantas vezes Jane Fonda se casou?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem foi o primeiro a escalar o Monte Everest?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quantas pessoas vivem na Polônia,32,196,216,230,1292,2400,4640,4682,5844,11622,24566,55652,-1
Onde fica o Palácio de Westminster?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Christian Bale atua em Batman Begins?,56,1580,3800,6546,12744,22312,43000,47456,47488,47488,47488,47488,48738
Em que país fica o Lago Limerick?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual foi o último filme de Alec Guinness?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual a montanha mais alta da Austrália?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Frank Herbert ainda vive?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem criou Family Guy?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual a língua oficial do Suriname?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem escreveu a canção Hotel California?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Liste todos os atores que estrelaram em filmes dirigidos por William Shatner.,64,2374,5294,8964,13136,13256,13728,14220,14352,14428,14794,15078,597402
Quais são os ingredientes do biscoito de chocolate?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Liste todos os skatistas profissionais da Suécia.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Que ingredientes eu preciso para um bolo de cenoura?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
O Neymar joga no Real Madrid?,62,1970,4820,8716,19402,27320,40232,63904,65062,65912,66480,66480,66920
Que cientista da computação ganhou um Oscar?,48,1142,2750,5004,8144,11746,14098,14322,14454,14710,15206,19508,-1
Quantas empresas foram fundadas no mesmo ano que o Google?,64,1192,3500,5952,14434,27296,53562,81966,104486,106268,107068,108390,-1
Em que cidade da Inglaterra está a sede do MI6?,48,1014,2414,2928,5460,8010,28110,68210,128310,208410,366060,640492,-1
A Crise dos Mísseis de Cuba ocorreu antes da Invasão da Baía dos Porcos?,72,688,712,736,770,820,904,998,1118,1200,1272,1382,1788
Qual o significado de IYCM?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quando a Dinastia Ming acabou?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.,48,1148,2846,4928,11012,18956,40172,45566,48116,49252,49542,49542,1877314
"Qual é a população total de Melbourne, Florida?",40,2154,5092,9290,21414,32834,57536,84980,117194,146246,193100,280184,530466
Arnold Schwarzenegger frequentou uma universidade?,84,2440,5538,9872,22288,37748,50936,72956,85988,86694,87382,120102,562810
Em que país está o Monte Everest?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Qual é a maior cidade da Austrália?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Ache todas as plataformas de lançamento espaciais operadas pela NASA.,72,1332,2746,2814,8064,17078,35910,73326,127376,153028,158820,256472,2748340
Quem é o prefeito de Tel Aviv?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.,48,1148,2846,4928,11012,18956,40172,45566,48116,49252,49542,49542,1877314
Quem criou Batman?,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
